id_text,text_name,version,l_no,text
dcclt/Q000043,OB Nippur Ura 06,SLT 019 [OB Nippur Ura],,o 2,sux:dida[wort]N
dcclt/Q000043,OB Nippur Ura 06,SLT 019 [OB Nippur Ura],,o 3,sux:dida[wort]N sux:lalhab[honey]N
dcclt/Q000043,OB Nippur Ura 06,SLT 019 [OB Nippur Ura],,o 4,sux:dida[wort]N sux:ud[sun]N sux:tab[double]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 019 [OB Nippur Ura],,o 5,sux:dida[wort]N sux:ud[sun]N sux:sal[thin]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 019 [OB Nippur Ura],,o 6,sux:dida[wort]N sux:šag[heart]N sux:gur[lift]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 019 [OB Nippur Ura],,o 7,sux:dida[wort]N sux:edadi[flour]N
dcclt/Q000043,OB Nippur Ura 06,SLT 019 [OB Nippur Ura],,o 8,sux:dida[wort]N sux:gal[big]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 019 [OB Nippur Ura],,o 9,sux:kaš[beer]N sux:naŋ[drink]V/t sux:lugal[king]N
dcclt/Q000043,OB Nippur Ura 06,SLT 019 [OB Nippur Ura],,o 10,sux:kaš[beer]N sux:kud[sweet]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 019 [OB Nippur Ura],,o 11,sux:kaš[beer]N sux:hurum[~pot]N
dcclt/Q000043,OB Nippur Ura 06,SLT 019 [OB Nippur Ura],,o 12,sux:kaš[beer]N sux:sag[rare]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 019 [OB Nippur Ura],,o 13,sux:kaš[beer]N sux:ŋen[go]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 019 [OB Nippur Ura],,o 14,sux:kaš[beer]N sux:ŋarza[rites]N
